value,category,icon,class
蛇年快乐,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/5f/lxhshenian_thumb.gif,positive
过年啦,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/94/lxhguonianla_thumb.gif,positive
圆蛋快乐,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/eb/lxhyuandan_thumb.gif,positive
发礼物,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/24/lxh_santa_thumb.gif,positive
要礼物,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/d2/lxh_gift_thumb.gif,negative
平安果,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/0f/lxh_apple_thumb.gif,positive
吓到了,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/fa/lxhscare_thumb.gif,negative
走你,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/ed/zouni_thumb.gif,positive
吐血,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/8c/lxhtuxue_thumb.gif,negative
好激动,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/ae/lxhjidong_thumb.gif,positive
没人疼,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/23/lxhlonely_thumb.gif,negative
招财,浪小花,http://img.t.sinajs.cn/t4/appstyle/expression/ext/normal/a9/lxhzhaocai_thumb.gif,positive
